,Unnamed: 0,No,Category,SubCategory,Post,HateSpeech,PreprocessedToken,Representation
0,0,1,Race,Chinese,Chinese are pigs!,1,"['chinese', 'pig']","['cow', 'pig', 'eat', 'rent', 'meat', 'pork', 'room', 'animal', 'breed', 'food']"
1,1,2,Race,Indian,I don't like pajeets they smell like curry,1,"['parent', 'smell', 'carry']","['disgusting', 'birch', 'dirty', 'section', 'fuck', 'smell', 'sick', 'highly', 'street', 'dress']"
2,2,4,Race,Indian,"Indians always smell stinky and weird, what is up with that",1,"['always', 'smell', 'sticky', 'weird']","['always', 'man', 'people', 'get', 'also', 'kiss', 'life', 'school', 'other', 'cult']"
3,3,5,Gender,Female,Women are so emotional they can't handle anything and keep crying for men's help.,1,"['woman', 'emotional', 'handle', 'keep', 'cry', 'man', 'help']","['woman', 'man', 'sex', 'female', 'feminist', 'look', 'want', 'marry', 'love', 'rate']"
4,4,6,Race,Malay,Malays are dependant on subsidiaries from the government.,1,"['always', 'dependent', 'subsidiary', 'government']","['worker', 'british', 'foreign', 'sector', 'work', 'local', 'private', 'citizen', 'want', 'always']"
5,5,6,Race,Malay,Couldn't sustain and make living by them own.,1,"['sustain', 'make', 'living']","['always', 'man', 'people', 'get', 'also', 'kiss', 'life', 'school', 'other', 'cult']"
6,6,7,Race,Malay,not all the malay people their education is good,0,"['malay', 'people', 'education', 'good']","['malay', 'malaysian', 'malaysia', 'company', 'speak', 'stop', 'race', 'country', 'comment', 'cancer']"
7,7,8,Race,Chinese,Chinese students they have better results compare to other students,0,"['chinese', 'student', 'well', 'result', 'compare', 'student']","['chinese', 'people', 'rice', 'face', 'student', 'citizenship', 'chinaman', 'indicate', 'grant', 'always']"
8,8,9,Gender,Female,Girl are more welcome than guys no matter how good a guy is,0,"['girl', 'welcome', 'gun', 'matter', 'good', 'guy']","['girl', 'gun', 'guy', 'lose', 'rape', 'safeguard', 'prick', 'multiple', 'fool', 'princess']"
9,9,10,Race,Malay,The chances of getting the scholarship should reserve for non Malay students.,0,"['chance', 'get', 'scholarship', 'reserve', 'non', 'malay', 'student']","['malay', 'malaysian', 'malaysia', 'company', 'speak', 'stop', 'race', 'country', 'comment', 'cancer']"
10,10,11,Race,Malay,"The Malays are lazy in terms of work, the lack of efficiency when comes to work, everything is slow.",1,"['always', 'lazy', 'term', 'work', 'lack', 'efficiency', 'come', 'work', 'slow']","['always', 'man', 'people', 'get', 'also', 'kiss', 'life', 'school', 'other', 'cult']"
11,11,12,Race,Malay,Ethnic preference to the Malays are nonsense.,0,"['ethnic', 'preference', 'always', 'nonsense']","['race', 'racism', 'assimilate', 'white', 'multiracial', 'outcast', 'play', 'group', 'call', 'cowardice']"
12,12,13,Race,Malay,"In Malaysia, it is so- call like a 'Malay' country because of the 70% population of the Malay people.",0,"['call', 'malay', 'country', 'population', 'malay', 'people']","['malay', 'malaysian', 'malaysia', 'company', 'speak', 'stop', 'race', 'country', 'comment', 'cancer']"
13,13,14,Race,Malay,I feel like usual malays in malaysia is a bit too overreactive.,0,"['feel', 'usual', 'malay', 'malasha', 'bit', 'overreactive']","['malay', 'malaysian', 'malaysia', 'company', 'speak', 'stop', 'race', 'country', 'comment', 'cancer']"
14,14,14,Race,Malay,Not only this they cant differentiate what is jewish product and franchise.,0,"['differentiate', 'jewish', 'product', 'franchise']","['always', 'man', 'people', 'get', 'also', 'kiss', 'life', 'school', 'other', 'cult']"
15,15,15,Race,Malay,We are forced to study moral in high school due to the malays abd turns out malays are the ones that causes problems toward the country.,1,"['force', 'study', 'moral', 'high', 'school', 'due', 'malay', 'turn', 'malay', 'one', 'cause', 'problem', 'country']","['malay', 'malaysian', 'malaysia', 'company', 'speak', 'stop', 'race', 'country', 'comment', 'cancer']"
16,16,15,Race,Malay,Sorry to say but malays are so dumb that they shouldnt be controling this country .,1,"['say', 'malay', 'dumb', 'control', 'country']","['malay', 'malaysian', 'malaysia', 'company', 'speak', 'stop', 'race', 'country', 'comment', 'cancer']"
17,17,16,Religion,Islam,Those muslims only know how to fuck goats.,1,"['know', 'fuck', 'goat']","['disgusting', 'birch', 'dirty', 'section', 'fuck', 'smell', 'sick', 'highly', 'street', 'dress']"
