,No,Category,SubCategory,Post,HateSpeech,PreprocessedToken,Representation
0,1,Race,Chinese,Chinese are pigs!,1,"['chinese', 'pigs']","[0, 29, 358, 336, 108, 148, 146, 66, 512, 205]"
1,2,Race,Indian,I don't like pajeets they smell like curry,1,"['unalike', 'pajeets', 'smell', 'like', 'curry']","[704, 2411, 3, 2206, 1050, 1673, 574, 1788, 17, 29]"
2,4,Race,Indian,"Indians always smell stinky and weird, what is up with that",1,"['indians', 'smell', 'stinky', 'weird']","[7, 204, 41, 838, 28, 291, 352, 234, 392, 146]"
3,5,Gender,Female,Women are so emotional they can't handle anything and keep crying for men's help.,1,"['women', 'emotional', 'handle', 'anything', 'keep', 'crying', 'men', 'help']","[0, 29, 358, 336, 108, 148, 146, 66, 512, 205]"
4,6,Race,Malay,Malays are dependant on subsidiaries from the government.,1,"['malays', 'dependant', 'subsidiaries', 'government']","[20, 1466, 132, 56, 17, 92, 396, 3, 176, 29]"
5,6,Race,Malay,Couldn't sustain and make living by them own.,1,"['could', 'negate', 'make', 'living']","[28, 3, 24, 29, 33, 2225, 264, 266, 265, 938]"
6,7,Race,Malay,not all the malay people their education is good,0,"['malay', 'people', 'education', 'good']","[204, 29, 187, 1336, 824, 28, 0, 27, 82, 173]"
7,8,Race,Chinese,Chinese students they have better results compare to other students,0,"['chinese', 'students', 'better', 'results', 'compare', 'students']","[28, 3, 24, 29, 33, 2225, 264, 266, 265, 938]"
8,9,Gender,Female,Girl are more welcome than guys no matter how good a guy is,0,"['girl', 'welcome', 'guys', 'matter', 'good', 'guy']","[34, 1532, 35, 1356, 1331, 493, 36, 487, 944, 313]"
9,10,Race,Malay,The chances of getting the scholarship should reserve for non Malay students.,0,"['chances', 'getting', 'scholarship', 'reserve', 'non', 'malay', 'students']","[307, 1565, 2064, 20, 127, 561, 234, 367, 1934, 1100]"
10,11,Race,Malay,"The Malays are lazy in terms of work, the lack of efficiency when comes to work, everything is slow.",1,"['malays', 'lazy', 'terms', 'work', 'lack', 'efficiency', 'comes', 'work', 'everything', 'slow']","[234, 51, 46, 621, 28, 462, 20, 909, 1037, 600]"
11,12,Race,Malay,Ethnic preference to the Malays are nonsense.,0,"['ethnic', 'preference', 'malays', 'nonsense']","[20, 1466, 132, 56, 17, 92, 396, 3, 176, 29]"
12,13,Race,Malay,"In Malaysia, it is so- call like a 'Malay' country because of the 70% population of the Malay people.",0,"['malaysia', 'call', 'like', 'malay', 'country', 'population', 'malay', 'people']","[28, 3, 24, 29, 33, 2225, 264, 266, 265, 938]"
13,14,Race,Malay,I feel like usual malays in malaysia is a bit too overreactive.,0,"['feel', 'like', 'usual', 'malays', 'malaysia', 'bit', 'overreactive']","[610, 942, 588, 204, 1062, 375, 2060, 57, 234, 902]"
14,14,Race,Malay,Not only this they cant differentiate what is jewish product and franchise.,0,"['integrate', 'jewish', 'product', 'franchise']","[0, 29, 358, 336, 108, 148, 146, 66, 512, 205]"
15,15,Race,Malay,We are forced to study moral in high school due to the malays abd turns out malays are the ones that causes problems toward the country.,1,"['forced', 'study', 'moral', 'high', 'school', 'due', 'malays', 'abd', 'turns', 'malays', 'ones', 'causes', 'problems', 'toward', 'country']","[20, 1466, 132, 56, 17, 92, 396, 3, 176, 29]"
16,15,Race,Malay,Sorry to say but malays are so dumb that they shouldnt be controling this country .,1,"['sorry', 'say', 'malays', 'dumb', 'differ', 'controling', 'country']","[81, 80, 593, 108, 83, 303, 20, 940, 3, 56]"
17,16,Religion,Islam,Those muslims only know how to fuck goats.,1,"['muslims', 'know', 'fuck', 'goats']","[136, 84, 234, 1326, 854, 10, 1614, 204, 87, 317]"
18,17,Race,Malay,Stop letting malays to take over this country or we chinese and indians could even predict the future of malaysia being a bankrupt country.,1,"['stop', 'letting', 'malays', 'take', 'country', 'chinese', 'indians', 'could', 'predict', 'future', 'malaysia', 'bankrupt', 'country']","[481, 1045, 244, 1530, 2300, 110, 113, 3, 57, 56]"
19,18,Race,Chinese,Chinese people loves rice,0,"['chinese', 'people', 'loves', 'rice']","[0, 29, 358, 336, 108, 148, 146, 66, 512, 205]"
20,19,Race,Malaysian,Malaysians are friendly towards a variety of races,0,"['malaysians', 'friendly', 'towards', 'variety', 'races']","[221, 97, 891, 401, 220, 1120, 400, 402, 901, 423]"
21,20,Race,Malaysian,Malaysians are polite and well behaved,0,"['malaysians', 'polite', 'well', 'behaved']","[143, 103, 504, 2207, 1242, 1712, 503, 3, 204, 502]"
22,21,Religion,Islam,I aporeciate the religious dedication that those guys in hijabs have.,0,"['aporeciate', 'religious', 'dedication', 'guys', 'hijabs']","[1649, 257, 1096, 1298, 29, 1105, 1209, 1601, 139, 107]"
23,22,Race,Malay,Fuck malays man,1,"['fuck', 'malays', 'man']","[20, 1466, 132, 56, 17, 92, 396, 3, 176, 29]"
24,23,Religion,Islam,Middle Eastern ladies tend to wear hijab,0,"['middle', 'eastern', 'ladies', 'tend', 'wear', 'hijab']","[481, 1045, 244, 1530, 2300, 110, 113, 3, 57, 56]"
25,24,Race,Unknown,Ethnic preferancial policies are meant to correct economic imbalance.,0,"['ethnic', 'preferancial', 'policies', 'meant', 'correct', 'economic', 'imbalance']","[30, 82, 139, 387, 204, 1579, 423, 28, 1135, 115]"
26,27,Race,Chinese,Chinese people from China are different from Chinese people that grew up in other countries,0,"['chinese', 'people', 'china', 'different', 'chinese', 'people', 'grew', 'countries']","[0, 29, 358, 336, 108, 148, 146, 66, 512, 205]"
27,30,Race,Foreigner,The new students from Africa are really cute.,0,"['new', 'students', 'africa', 'really', 'cute']","[1040, 127, 174, 128, 1878, 28, 894, 1270, 423, 1817]"
28,32,Religion,Islam,Does hijab makes a women more beautiful or less.,0,"['hijab', 'makes', 'women', 'beautiful', 'less']","[29, 1023, 2889, 17, 130, 3, 242, 1147, 1697, 1324]"
29,33,Religion,Islam,"Islam people act like they are very holy, but some of them still commit to crime.",1,"['islam', 'people', 'act', 'like', 'holy', 'commit', 'crime']","[248, 288, 29, 8, 87, 1155, 1548, 2005, 1875, 1754]"
30,34,Religion,Multiple,All religions teach its devotees to live in peace with others,0,"['religions', 'teach', 'devotees', 'live', 'peace', 'others']","[269, 140, 17, 1682, 203, 138, 1292, 597, 56, 1209]"
31,36,Race,Multiple,other Chinese & Indian people being treated so unfair,0,"['chinese', 'indian', 'people', 'treated', 'unfair']","[0, 29, 358, 336, 108, 148, 146, 66, 512, 205]"
32,37,Gender,Male,Men need to work to get money,0,"['men', 'need', 'work', 'get', 'money']","[881, 176, 148, 207, 613, 700, 652, 1081, 544, 911]"
33,38,Gender,Male,Most houses are built by men,0,"['houses', 'built', 'men']","[16, 17, 3, 1209, 1215, 186, 722, 530, 2505, 2734]"
34,39,Gender,Multiple,Girl and guy are equal,0,"['girl', 'guy', 'equal']","[34, 1532, 35, 1356, 1331, 493, 36, 487, 944, 313]"
35,42,Gender,Female,Girl should be given more chance than guys,0,"['girl', 'given', 'chance', 'guys']","[34, 1532, 35, 1356, 1331, 493, 36, 487, 944, 313]"
36,45,Race,Foreigner,Why peace talk in Kuala Lumpur?!,0,"['peace', 'talk', 'kuala', 'lumpur']","[431, 706, 159, 679, 204, 323, 87, 3, 2277, 2460]"
37,45,Race,Foreigner,Didn't these foreigners know Kuala Lumpur is a city of bedbugs?,0,"['foreigners', 'know', 'kuala', 'lumpur', 'city', 'bedbugs']","[431, 706, 159, 679, 204, 323, 87, 3, 2277, 2460]"
38,51,Race,Unknown,There is no concept of conflict of interest in corrupt apartheid Malaysia.,0,"['misconception', 'conflict', 'interest', 'corrupt', 'apartheid', 'malaysia']","[481, 1045, 244, 1530, 2300, 110, 113, 3, 57, 56]"
39,53,Race,Indian,"a typically ""brown on the outside, white on the inside"" type of British indian, therefore a westerner",1,"['typically', 'brown', 'outside', 'white', 'inside', 'type', 'british', 'indian', 'therefore', 'westerner']","[87, 312, 2215, 242, 57, 396, 1142, 173, 25, 143]"
40,54,Race,Indian,Indians will live like this then go for a walk down the street and give you dirty looks like they're better than you?,1,"['indians', 'live', 'like', 'go', 'walk', 'street', 'give', 'dirty', 'looks', 'like', 'better']","[431, 706, 159, 679, 204, 323, 87, 3, 2277, 2460]"
41,54,Race,Indian,"Indians have no self awareness, they're arrogant little rats",1,"['indians', 'self', 'awareness', 'arrogant', 'little', 'rats']","[7, 204, 41, 838, 28, 291, 352, 234, 392, 146]"
42,55,Religion,Islam,Imagine being so confidently wrong.,1,"['imagine', 'confidently', 'wrong']","[204, 29, 187, 1336, 824, 28, 0, 27, 82, 173]"
43,55,Religion,Islam,You definitely haven't seen or eaten pork before.,1,"['definitely', 'seen', 'eaten', 'pork']","[28, 228, 600, 3, 217, 188, 758, 221, 128, 56]"
44,55,Religion,Islam,GO BACK TO YOUR COUNTRY!,1,"['go', 'back', 'country']","[176, 192, 56, 92, 98, 108, 17, 228, 1624, 278]"
45,55,Religion,Islam,DON'T SPREAD YOUR IDIOCY HERE!,1,"['gather', 'idiocy']","[28, 3, 24, 29, 33, 2225, 264, 266, 265, 938]"
46,56,Race,Indian,"No if you tell them to leave Canada, they'll just come here.",1,"['tell', 'leave', 'canada', 'come']","[197, 1285, 637, 2046, 2728, 1991, 55, 138, 221, 93]"
47,56,Race,Indian,They should go back to India.,1,"['go', 'back', 'india']","[176, 192, 56, 92, 98, 108, 17, 228, 1624, 278]"
48,59,Religion,Islam,This idiot muslim only know beef and chicken in this world...  he doesn't know what is pork ...,1,"['idiot', 'muslim', 'know', 'beef', 'chicken', 'world', 'ignore', 'pork']","[269, 140, 17, 1682, 203, 138, 1292, 597, 56, 1209]"
49,60,Race,Chinese,STFU and be a quiet Chinaman or go home,1,"['stfu', 'quiet', 'chinaman', 'go', 'home']","[881, 176, 148, 207, 613, 700, 652, 1081, 544, 911]"
50,61,Race,Chinese,"Consent of subject (Chinese stall owner, allegedly deceased) is unknown.",0,"['consent', 'subject', 'chinese', 'stall', 'owner', 'allegedly', 'deceased', 'unknown']","[37, 2989, 902, 714, 716, 715, 0, 495, 2899, 2383]"
51,63,Race,Foreigner,"For every expat/tourist that sings praises of us, there's one sour grape out to ruin nice things.",0,"['every', 'expat', 'tourist', 'sings', 'praises', 'one', 'sour', 'grape', 'ruin', 'nice', 'things']","[303, 1076, 226, 221, 1209, 3016, 894, 503, 704, 167]"
52,64,Race,Malay,He is a Malaysian not Malay,0,"['malaysian', 'malay']","[28, 228, 600, 3, 217, 188, 758, 221, 128, 56]"
