,Unnamed: 0,No,Category,SubCategory,Post,HateSpeech,PreprocessedToken,Representation
0,0,1,Race,Chinese,Chinese are pigs!,1,"['chinese', 'pig']","[0, 1700, 216, 12, 225, 730, 258, 71, 175, 1645]"
1,1,2,Race,Indian,I don't like pajeets they smell like curry,1,"['parent', 'smell', 'carry']","[259, 39, 292, 963, 3, 78, 35, 377, 1435, 14]"
2,2,4,Race,Indian,"Indians always smell stinky and weird, what is up with that",1,"['always', 'smell', 'sticky', 'weird']","[5, 114, 16, 292, 1659, 36, 258, 1124, 35, 133]"
3,3,5,Gender,Female,Women are so emotional they can't handle anything and keep crying for men's help.,1,"['woman', 'emotional', 'handle', 'keep', 'cry', 'man', 'help']","[11, 832, 65, 860, 1607, 103, 110, 69, 66, 790]"
4,4,6,Race,Malay,Malays are dependant on subsidiaries from the government.,1,"['always', 'dependent', 'subsidiary', 'government']","[5, 114, 16, 292, 1659, 36, 258, 1124, 35, 133]"
5,5,6,Race,Malay,Couldn't sustain and make living by them own.,1,"['sustain', 'make', 'living']","[231, 19, 382, 803, 31, 35, 560, 331, 12, 250]"
6,6,7,Race,Malay,not all the malay people their education is good,0,"['malay', 'people', 'education', 'good']","[22, 687, 1195, 831, 78, 328, 30, 1815, 88, 1151]"
7,7,8,Race,Chinese,Chinese students they have better results compare to other students,0,"['chinese', 'student', 'well', 'result', 'compare', 'student']","[13, 1251, 24, 151, 390, 23, 223, 127, 224, 27]"
8,8,9,Gender,Female,Girl are more welcome than guys no matter how good a guy is,0,"['girl', 'welcome', 'gun', 'matter', 'good', 'guy']","[29, 935, 30, 1550, 369, 1775, 806, 418, 852, 125]"
9,9,10,Race,Malay,The chances of getting the scholarship should reserve for non Malay students.,0,"['chance', 'get', 'scholarship', 'reserve', 'non', 'malay', 'student']","[776, 240, 24, 914, 589, 715, 1172, 35, 1103, 717]"
10,10,11,Race,Malay,"The Malays are lazy in terms of work, the lack of efficiency when comes to work, everything is slow.",1,"['always', 'lazy', 'term', 'work', 'lack', 'efficiency', 'come', 'work', 'slow']","[1645, 229, 1583, 19, 913, 33, 14, 45, 44, 222]"
11,11,12,Race,Malay,Ethnic preference to the Malays are nonsense.,0,"['ethnic', 'preference', 'always', 'nonsense']","[791, 361, 1331, 784, 677, 1177, 148, 8, 19, 1178]"
12,12,13,Race,Malay,"In Malaysia, it is so- call like a 'Malay' country because of the 70% population of the Malay people.",0,"['call', 'malay', 'country', 'population', 'malay', 'people']","[23, 45, 1357, 830, 340, 257, 64, 142, 82, 495]"
13,13,14,Race,Malay,I feel like usual malays in malaysia is a bit too overreactive.,0,"['feel', 'usual', 'malay', 'malasha', 'bit', 'overreactive']","[862, 63, 279, 756, 82, 265, 54, 766, 80, 795]"
14,14,14,Race,Malay,Not only this they cant differentiate what is jewish product and franchise.,0,"['differentiate', 'jewish', 'product', 'franchise']","[35, 1838, 274, 1185, 175, 60, 52, 564, 469, 632]"
15,15,15,Race,Malay,We are forced to study moral in high school due to the malays abd turns out malays are the ones that causes problems toward the country.,1,"['force', 'study', 'moral', 'high', 'school', 'due', 'malay', 'turn', 'malay', 'one', 'cause', 'problem', 'country']","[11, 832, 65, 860, 1607, 103, 110, 69, 66, 790]"
16,16,15,Race,Malay,Sorry to say but malays are so dumb that they shouldnt be controling this country .,1,"['say', 'malay', 'dumb', 'control', 'country']","[23, 45, 1357, 830, 340, 257, 64, 142, 82, 495]"
17,17,16,Religion,Islam,Those muslims only know how to fuck goats.,1,"['know', 'fuck', 'goat']","[74, 6, 1700, 1015, 1016, 1014, 1060, 2141, 1438, 1284]"
18,18,17,Race,Malay,Stop letting malays to take over this country or we chinese and indians could even predict the future of malaysia being a bankrupt country.,1,"['stop', 'let', 'malay', 'take', 'country', 'chinese', 'even', 'predict', 'future', 'malasha', 'bankrupt', 'country']","[125, 76, 514, 255, 2034, 1403, 450, 215, 687, 494]"
19,19,18,Race,Chinese,Chinese people loves rice,0,"['chinese', 'people', 'love', 'rice']","[0, 1700, 216, 12, 225, 730, 258, 71, 175, 1645]"
20,20,19,Race,Malaysian,Malaysians are friendly towards a variety of races,0,"['malaysian', 'friendly', 'variety', 'race']","[88, 420, 235, 232, 82, 87, 233, 234, 66, 1879]"
21,21,20,Race,Malaysian,Malaysians are polite and well behaved,0,"['malaysian', 'polite', 'well', 'behave']","[28, 83, 168, 1526, 477, 325, 476, 270, 35, 1780]"
22,22,21,Religion,Islam,I aporeciate the religious dedication that those guys in hijabs have.,0,"['appreciate', 'religious', 'education', 'gun', 'hijab']","[171, 495, 21, 292, 195, 1899, 93, 874, 327, 250]"
