,Unnamed: 0,No,Category,SubCategory,Post,HateSpeech,PreprocessedToken,Representation
0,0,1,Race,Chinese,Chinese are pigs!,1,"['chinese', 'pigs']","[0, 29, 146, 19, 3, 174, 692, 157, 81, 55]"
1,1,2,Race,Indian,I don't like pajeets they smell like curry,1,"['like', 'pajeets', 'smell', 'like', 'curry']","[2008, 3, 620, 201, 16, 756, 752, 498, 841, 2126]"
2,2,4,Race,Indian,"Indians always smell stinky and weird, what is up with that",1,"['indians', 'smell', 'stinky', 'weird']","[6, 23, 265, 3, 894, 228, 2976, 2244, 1797, 1083]"
3,3,5,Gender,Female,Women are so emotional they can't handle anything and keep crying for men's help.,1,"['women', 'emotional', 'handle', 'anything', 'keep', 'crying', 'men', 'help']","[139, 9, 16, 2174, 56, 228, 1554, 1051, 489, 881]"
4,4,6,Race,Malay,Malays are dependant on subsidiaries from the government.,1,"['malays', 'dependant', 'subsidiaries', 'government']","[56, 19, 27, 50, 425, 896, 86, 55, 543, 65]"
5,5,6,Race,Malay,Couldn't sustain and make living by them own.,1,"['could', 'negate', 'make', 'living']","[1053, 1407, 741, 24, 2565, 845, 1855, 3196, 2748, 881]"
6,6,7,Race,Malay,not all the malay people their education is good,0,"['malay', 'people', 'education', 'good']","[2182, 874, 1529, 27, 28, 263, 264, 1126, 25, 73]"
7,7,8,Race,Chinese,Chinese students they have better results compare to other students,0,"['chinese', 'students', 'better', 'results', 'compare', 'students']","[1117, 32, 1017, 231, 15, 523, 1227, 1801, 1038, 564]"
8,8,9,Gender,Female,Girl are more welcome than guys no matter how good a guy is,0,"['girl', 'welcome', 'guys', 'matter', 'good', 'guy']","[2397, 34, 1491, 120, 96, 28, 26, 425, 1026, 703]"
9,9,10,Race,Malay,The chances of getting the scholarship should reserve for non Malay students.,0,"['chances', 'getting', 'scholarship', 'reserve', 'non', 'malay', 'students']","[858, 27, 280, 509, 1254, 390, 703, 81, 710, 720]"
10,10,11,Race,Malay,"The Malays are lazy in terms of work, the lack of efficiency when comes to work, everything is slow.",1,"['malays', 'lazy', 'terms', 'work', 'lack', 'efficiency', 'comes', 'work', 'everything', 'slow']","[27, 2031, 591, 226, 426, 50, 19, 526, 215, 2509]"
11,11,12,Race,Malay,Ethnic preference to the Malays are nonsense.,0,"['ethnic', 'preference', 'malays', 'nonsense']","[56, 19, 27, 50, 425, 896, 86, 55, 543, 65]"
12,12,13,Race,Malay,"In Malaysia, it is so- call like a 'Malay' country because of the 70% population of the Malay people.",0,"['malaysia', 'call', 'like', 'malay', 'country', 'population', 'malay', 'people']","[56, 19, 27, 50, 425, 896, 86, 55, 543, 65]"
13,13,14,Race,Malay,I feel like usual malays in malaysia is a bit too overreactive.,0,"['feel', 'like', 'usual', 'malays', 'malaysia', 'bit', 'overreactive']","[2397, 34, 1491, 120, 96, 28, 26, 425, 1026, 703]"
14,14,14,Race,Malay,Not only this they cant differentiate what is jewish product and franchise.,0,"['differentiate', 'jewish', 'product', 'franchise']","[56, 19, 27, 50, 425, 896, 86, 55, 543, 65]"
15,15,15,Race,Malay,We are forced to study moral in high school due to the malays abd turns out malays are the ones that causes problems toward the country.,1,"['forced', 'study', 'moral', 'high', 'school', 'due', 'malays', 'abd', 'turns', 'malays', 'ones', 'causes', 'problems', 'toward', 'country']","[246, 226, 55, 19, 975, 219, 461, 458, 453, 81]"
