,No,Category,SubCategory,Post,HateSpeech,PreprocessedToken,Topic_Probabilities,Topic,Representative_Docs
0,1,Race,Chinese,Chinese are pigs!,1,"['chinese', 'pigs']","[4, 0.353802893618629]","['chinese', 'china', 'people', 'pig', 'go', 'indians', 'rice', 'students', 'many', 'stupid']","['chinese pig', 'pig chinese', 'chinese people china different chinese people grew countries']"
1,2,Race,Indian,I don't like pajeets they smell like curry,1,"['unalike', 'pajeets', 'smell', 'like', 'curry']","[7, 0.21967016813460452]","['indians', 'indian', 'pajeets', 'smell', 'pajeet', 'fuck', 'india', 'like', 'especially', 'foreigner']","['like indians', 'indians', 'indians']"
2,4,Race,Indian,"Indians always smell stinky and weird, what is up with that",1,"['indians', 'smell', 'stinky', 'weird']","[7, 0.20338674496166917]","['indians', 'indian', 'pajeets', 'smell', 'pajeet', 'fuck', 'india', 'like', 'especially', 'foreigner']","['like indians', 'indians', 'indians']"
3,5,Gender,Female,Women are so emotional they can't handle anything and keep crying for men's help.,1,"['women', 'emotional', 'handle', 'anything', 'keep', 'crying', 'men', 'help']","[1, 1.0]","['men', 'women', 'woman', 'man', 'sex', 'want', 'get', 'like', 'life', 'female']","['american women literally men', 'men', 'women find men unattractive']"
4,6,Race,Malay,Malays are dependant on subsidiaries from the government.,1,"['malays', 'dependant', 'subsidiaries', 'government']","[2, 1.0]","['malay', 'malays', 'malaysia', 'malaysian', 'speak', 'malaysians', 'chinese', 'country', 'pendatang', 'like']","['malays chinese', 'malaysian malay', 'malay']"
5,6,Race,Malay,Couldn't sustain and make living by them own.,1,"['could', 'negate', 'make', 'living']","[6, 0.44464284387489394]","['religion', 'god', 'jesus', 'christians', 'people', 'christianity', 'world', 'church', 'christian', 'religious']","['christians god', 'religion', 'religion']"
6,7,Race,Malay,not all the malay people their education is good,0,"['malay', 'people', 'education', 'good']","[2, 1.0]","['malay', 'malays', 'malaysia', 'malaysian', 'speak', 'malaysians', 'chinese', 'country', 'pendatang', 'like']","['malays chinese', 'malaysian malay', 'malay']"
7,8,Race,Chinese,Chinese students they have better results compare to other students,0,"['chinese', 'students', 'better', 'results', 'compare', 'students']","[4, 0.7142307470526994]","['chinese', 'china', 'people', 'pig', 'go', 'indians', 'rice', 'students', 'many', 'stupid']","['chinese pig', 'pig chinese', 'chinese people china different chinese people grew countries']"
8,9,Gender,Female,Girl are more welcome than guys no matter how good a guy is,0,"['girl', 'welcome', 'guys', 'matter', 'good', 'guy']","[1, 0.8104271830630293]","['men', 'women', 'woman', 'man', 'sex', 'want', 'get', 'like', 'life', 'female']","['american women literally men', 'men', 'women find men unattractive']"
9,10,Race,Malay,The chances of getting the scholarship should reserve for non Malay students.,0,"['chances', 'getting', 'scholarship', 'reserve', 'non', 'malay', 'students']","[2, 1.0]","['malay', 'malays', 'malaysia', 'malaysian', 'speak', 'malaysians', 'chinese', 'country', 'pendatang', 'like']","['malays chinese', 'malaysian malay', 'malay']"
10,11,Race,Malay,"The Malays are lazy in terms of work, the lack of efficiency when comes to work, everything is slow.",1,"['malays', 'lazy', 'terms', 'work', 'lack', 'efficiency', 'comes', 'work', 'everything', 'slow']","[2, 1.0]","['malay', 'malays', 'malaysia', 'malaysian', 'speak', 'malaysians', 'chinese', 'country', 'pendatang', 'like']","['malays chinese', 'malaysian malay', 'malay']"
11,12,Race,Malay,Ethnic preference to the Malays are nonsense.,0,"['ethnic', 'preference', 'malays', 'nonsense']","[2, 0.9720722489961667]","['malay', 'malays', 'malaysia', 'malaysian', 'speak', 'malaysians', 'chinese', 'country', 'pendatang', 'like']","['malays chinese', 'malaysian malay', 'malay']"
12,13,Race,Malay,"In Malaysia, it is so- call like a 'Malay' country because of the 70% population of the Malay people.",0,"['malaysia', 'call', 'like', 'malay', 'country', 'population', 'malay', 'people']","[2, 1.0]","['malay', 'malays', 'malaysia', 'malaysian', 'speak', 'malaysians', 'chinese', 'country', 'pendatang', 'like']","['malays chinese', 'malaysian malay', 'malay']"
13,14,Race,Malay,I feel like usual malays in malaysia is a bit too overreactive.,0,"['feel', 'like', 'usual', 'malays', 'malaysia', 'bit', 'overreactive']","[2, 1.0]","['malay', 'malays', 'malaysia', 'malaysian', 'speak', 'malaysians', 'chinese', 'country', 'pendatang', 'like']","['malays chinese', 'malaysian malay', 'malay']"
14,14,Race,Malay,Not only this they cant differentiate what is jewish product and franchise.,0,"['integrate', 'jewish', 'product', 'franchise']","[8, 0.8445774281730882]","['israel', 'zionist', 'jews', 'jew', 'semitic', 'pro', 'hate', 'palestine', 'history', 'zionism']","['pro semitic hate israel palestine', 'pro semitic love jews protest state israel odd exist', 'israel']"
15,15,Race,Malay,We are forced to study moral in high school due to the malays abd turns out malays are the ones that causes problems toward the country.,1,"['forced', 'study', 'moral', 'high', 'school', 'due', 'malays', 'abd', 'turns', 'malays', 'ones', 'causes', 'problems', 'toward', 'country']","[2, 0.900724863198131]","['malay', 'malays', 'malaysia', 'malaysian', 'speak', 'malaysians', 'chinese', 'country', 'pendatang', 'like']","['malays chinese', 'malaysian malay', 'malay']"
16,15,Race,Malay,Sorry to say but malays are so dumb that they shouldnt be controling this country .,1,"['sorry', 'say', 'malays', 'dumb', 'differ', 'controling', 'country']","[2, 1.0]","['malay', 'malays', 'malaysia', 'malaysian', 'speak', 'malaysians', 'chinese', 'country', 'pendatang', 'like']","['malays chinese', 'malaysian malay', 'malay']"
17,16,Religion,Islam,Those muslims only know how to fuck goats.,1,"['muslims', 'know', 'fuck', 'goats']","[22, 1.0]","['prophet', 'goat', 'pedophile', 'rape', 'fuck', 'know', 'sex', 'aisha', 'dophiles', 'descendant']","['prophet pedophile rapist', 'teachings pedophile prophet maybe', 'told muslims rape common friend live sex much rape goat cow']"
18,17,Race,Malay,Stop letting malays to take over this country or we chinese and indians could even predict the future of malaysia being a bankrupt country.,1,"['stop', 'letting', 'malays', 'take', 'country', 'chinese', 'indians', 'could', 'predict', 'future', 'malaysia', 'bankrupt', 'country']","[2, 0.7650338458315427]","['malay', 'malays', 'malaysia', 'malaysian', 'speak', 'malaysians', 'chinese', 'country', 'pendatang', 'like']","['malays chinese', 'malaysian malay', 'malay']"
