No,Category,SubCategory1,Post,HateSpeech
1,Race,Chinese,Chinese are pigs!,1
2,Race,Indian,I don't like pajeets they smell like curry,1
3,None,None,Israel is defending itself from Hamas,0
4,Race,Indian,"Indians always smell stinky and weird, what is up with that",1
5,Gender,Female,Women are so emotional they can't handle anything and keep crying for men's help.,1
6,Race,Malay,Malays are dependant on subsidiaries from the government. Couldn’t sustain and make living by them own.,1
7,Race,Malay,not all the malay people their education is good,0
8,Race,Chinese,Chinese students they have better results compare to other students,0
9,Gender,Female,Girl are more welcome than guys no matter how good a guy is,0
10,Race,Malay,The chances of getting the scholarship should reserve for non Malay students.,0
11,Race,Malay,"The Malays are lazy in terms of work, the lack of efficiency when comes to work, everything is slow.",1
12,Race,Malay,Ethnic preference to the Malays are nonsense.,0
13,Race,Malay,"In Malaysia, it is so- call like a 'Malay' country because of the 70% population of the Malay people.",0
14,Race,Malay,I feel like usual malays in malaysia is a bit too overreactive. Not only this they cant differentiate what is jewish product and franchise.,0
15,Race,Malay,We are forced to study moral in high school due to the malays abd turns out malays are the ones that causes problems toward the country. Sorry to say but malays are so dumb that they shouldnt be controling this country .,1
16,Religion,Islam,Those muslims only know how to fuck goats.,1
17,Race,Malay,Stop letting malays to take over this country or we chinese and indians could even predict the future of malaysia being a bankrupt country.,1
18,Race,Chinese,Chinese people loves rice,0
19,Race,Malaysian,Malaysians are friendly towards a variety of races,0
20,Race,Malaysian,Malaysians are polite and well behaved,0
21,Religion,Islam,I aporeciate the religious dedication that those guys in hijabs have.,0
22,Race,Malay,Fuck malays man,1
23,Religion,Islam,Middle Eastern ladies tend to wear hijab,0
24,Race,None,Ethnic preferancial policies are meant to correct economic imbalance.,0
25,None,None,Malaysia truly Asia.,0
26,None,None,I love cars,0
27,Race,Chinese,Chinese people from China are different from Chinese people that grew up in other countries,0
28,None,None,Malaysia has better food than Singapore,0
29,None,None,Support Hamas and you support terrorist,0
30,Race,Foreigner,The new students from Africa are really cute.,0
31,None,None,Stop boycotting products that are innocent,0
32,Religion,Islam,Does hijab makes a women more beautiful or less.,0
33,Religion,Islam,"Islam people act like they are very holy, but some of them still commit to crime.",1
34,Religion,Multiple,All religions teach its devotees to live in peace with others,0
35,None,None,"Chatto offers such delicious sandwiches. They are flavourful, savoury & eye opening for me. I recommend everyone to try out!",0
36,Race,Multiple,other Chinese & Indian people being treated so unfair,0
37,Gender,Male,Men need to work to get money,0
38,Gender,Male,Most houses are built by men,0
39,Gender,Multiple,Girl and guy are equal,0
40,None,None,We need to stop dick riding trends and encourage free thinking,0
41,None,None,I am driving now.,0
42,Gender,Female,Girl should be given more chance than guys,0
43,None,None,All about idolatry . Idol worshipping is their belief and practice,0
44,None,None,"Why worry. Kelantan n Trengganu will give money since they have timber, gold n oil n gas. Kedah have ketum n rare earth.",0
45,Race,Foreigner,Why peace talk in Kuala Lumpur?! Didn't these foreigners know Kuala Lumpur is a city of bedbugs?!,0
46,None,None,don’t trust those in power doing kangaroo exercises.,0
47,None,None,Clown sensation for publicity as usual ignore this dude,0
48,None,None,The man with dignity,0
49,None,None,A very right and thoughtful decision. No point to remain in it when they don't care for you at all. Good job brother!,0
50,None,None,This institution is a joke. Clowns & Corrupt Crooks are running the show,0
51,Race,None,There is no concept of conflict of interest in corrupt apartheid Malaysia.,0
52,None,None,Pas is not good for Malaysia. They are in a coconut shell or a cave.,0
53,Race,Indian,"a typically ""brown on the outside, white on the inside"" type of British indian, therefore a westerner",1
54,Race,Indian,"Indians will live like this then go for a walk down the street and give you dirty looks like they're better than you? Indians have no self awareness, they're arrogant little rats",1
55,Religion,Islam,Imagine being so confidently wrong. You definitely haven't seen or eaten pork before. GO BACK TO YOUR COUNTRY! DON'T SPREAD YOUR IDIOCY HERE!,1
56,Race,Indian,"No if you tell them to leave Canada, they'll just come here. They should go back to India.",1
57,None,None,It's funny that you have a master of Science in Biology and still spreading false news and having a smear campaign on another country.,0
